date,outbreak_type,outbreak_severity_0_5,total_patient_arrivals,general_opd_arrivals,fever_infectious_arrivals,maternal_child_arrivals,trauma_emergency_arrivals,expected_admissions,required_general_doctors,required_physicians,required_emergency_doctors,required_pediatricians,required_obgyn_doctors,required_senior_nursing_officers,required_nursing_officers,required_anm_staff,required_lab_technicians,required_pharmacists,required_ambulance_crew,required_general_beds,required_emergency_beds,required_isolation_beds,required_iv_fluid_units,required_ors_units,required_diagnostic_test_kits,required_antipyretic_units,required_ppe_kits,required_oxygen_cylinders,required_ambulances,available_general_beds,available_emergency_beds,available_isolation_beds,stock_iv_fluid_units,stock_ors_units,stock_diagnostic_test_kits,stock_antipyretic_units,stock_ppe_kits,available_oxygen_cylinders,available_ambulances,resource_shortage_count,overflow_patients,emergency_risk_level
2020-03-11,None,0,150,108,13,7,22,9,2,1,2,1,1,2,6,1,1,2,1,5,5,3,13,3,6,31,15,2,1,43,12,7,15,12,5,38,18,9,2,1,0,Watch
2020-03-12,None,0,127,91,17,11,8,8,2,1,1,1,1,2,5,1,1,2,1,5,3,3,12,4,8,35,16,1,1,42,10,5,13,11,6,34,15,8,2,3,0,High
2020-03-13,None,0,120,83,21,8,8,7,2,1,1,1,1,2,5,1,1,1,1,4,3,3,12,4,10,40,18,1,1,41,14,8,12,13,10,36,20,10,3,1,0,Watch
2020-03-14,None,0,106,72,16,8,10,6,2,1,1,1,1,2,4,1,1,1,1,4,3,2,11,3,8,32,14,1,1,46,8,9,10,11,7,35,11,7,2,3,0,High
2020-03-15,None,0,103,70,15,8,10,6,2,1,1,1,1,2,4,1,1,1,1,4,3,2,11,3,7,30,14,1,1,38,11,10,10,11,7,32,17,8,2,1,0,Watch
2020-03-16,None,0,128,94,20,6,8,8,2,1,1,1,1,2,5,1,1,2,1,5,3,3,11,4,9,40,17,1,1,45,11,5,12,12,7,36,23,10,2,2,0,Watch
2020-03-17,None,0,122,89,16,12,5,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,11,3,8,33,15,1,1,41,8,8,13,10,6,33,14,9,2,2,0,Watch
2020-03-18,None,0,141,100,21,10,10,8,2,1,1,1,1,2,6,1,1,2,1,5,4,3,13,4,10,42,19,1,1,45,10,9,12,12,9,48,25,10,2,2,0,Watch
2020-03-19,None,0,126,88,17,13,8,10,2,1,1,1,1,2,5,1,1,2,1,6,4,3,12,4,8,35,16,1,1,44,11,9,13,12,9,32,17,9,2,1,0,Watch
2020-03-20,None,0,122,86,21,6,9,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,12,4,10,41,18,1,1,40,10,10,10,12,10,37,16,10,2,3,0,High
2020-03-21,None,0,112,72,20,9,11,6,2,1,1,1,1,2,4,1,1,1,1,4,3,3,13,4,9,38,16,1,1,42,10,9,17,11,9,51,19,8,2,0,0,Normal
2020-03-22,None,0,110,73,16,8,13,8,2,1,1,1,1,2,4,1,1,1,1,5,4,3,12,3,8,32,14,1,1,33,14,7,16,11,6,38,17,9,2,1,0,Watch
2020-03-23,None,0,133,101,14,8,10,8,2,1,1,1,1,2,5,1,1,2,1,5,4,3,10,3,7,32,14,1,1,37,11,7,12,11,7,37,15,11,2,0,0,Normal
2020-03-24,None,0,130,93,19,13,5,8,2,1,1,1,1,2,5,1,1,2,1,5,3,3,12,4,9,38,17,1,1,51,10,8,16,13,11,43,23,8,3,0,0,Normal
2020-03-25,None,0,137,98,18,8,13,8,2,1,1,1,1,2,5,1,1,2,1,5,4,3,13,4,9,37,16,1,1,41,11,6,15,12,11,47,14,9,2,1,0,Watch
2020-03-26,None,0,126,85,17,13,11,7,2,1,1,1,1,2,5,1,1,2,1,4,4,3,13,4,8,34,16,1,1,38,12,2,14,13,10,40,22,9,2,1,0,Watch
2020-03-27,None,0,119,85,17,10,7,6,2,1,1,1,1,2,5,1,1,1,1,4,3,3,11,4,8,34,16,1,1,48,11,4,9,12,8,45,20,13,2,1,0,Watch
2020-03-28,None,0,113,79,15,10,9,6,2,1,1,1,1,2,5,1,1,1,1,4,3,2,11,3,7,31,15,1,1,36,11,9,10,12,7,43,13,9,2,2,0,Watch
2020-03-29,None,0,107,73,17,8,9,6,2,1,1,1,1,2,4,1,1,1,1,4,3,3,11,4,8,33,15,1,1,45,15,7,9,13,8,39,21,13,2,1,0,Watch
2020-03-30,None,0,141,97,19,8,17,9,2,1,1,1,1,2,6,1,1,2,1,5,5,3,14,4,9,39,18,2,1,47,13,6,15,12,7,41,25,10,2,1,0,Watch
2020-03-31,None,0,136,94,21,16,5,8,2,1,1,1,1,2,5,2,1,2,1,5,3,3,13,4,10,41,18,1,1,46,11,8,16,12,9,39,16,6,2,3,0,High
2020-04-01,None,0,141,97,19,8,17,9,2,1,1,1,1,2,6,1,1,2,1,5,5,3,14,4,9,39,18,2,1,27,11,8,12,11,10,48,19,11,2,1,0,Watch
2020-04-02,None,0,127,89,15,15,8,8,2,1,1,1,1,2,5,1,1,2,1,5,3,3,12,3,7,32,15,1,1,42,11,7,11,11,7,30,17,6,2,2,0,Watch
2020-04-03,None,0,123,87,22,7,7,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,12,4,10,42,18,1,1,54,10,8,13,11,8,52,23,8,2,1,0,Watch
2020-04-04,None,0,114,76,18,9,11,7,2,1,1,1,1,2,5,1,1,1,1,4,4,3,12,4,9,35,16,1,1,40,11,10,12,13,10,40,19,13,2,0,0,Normal
2020-04-05,None,0,101,68,13,9,11,7,2,1,1,1,1,2,4,1,1,1,1,4,4,3,11,3,6,27,13,1,1,31,12,8,9,10,6,33,11,10,3,2,0,Watch
2020-04-06,None,0,130,97,16,9,8,8,2,1,1,1,1,2,5,1,1,2,1,5,3,3,11,3,8,34,15,1,1,41,11,13,10,11,6,36,20,9,2,2,0,Watch
2020-04-07,None,0,132,94,17,14,7,9,2,1,1,1,1,2,5,1,1,2,1,5,4,3,12,4,8,35,16,1,1,42,11,8,14,12,6,47,21,14,2,1,0,Watch
2020-04-08,None,0,132,95,17,8,12,8,2,1,1,1,1,2,5,1,1,2,1,5,4,3,12,4,8,35,16,1,1,47,12,12,14,13,8,40,13,12,2,1,0,Watch
2020-04-09,None,0,128,88,21,14,5,8,2,1,1,1,1,2,5,1,1,2,1,5,3,3,13,4,10,41,18,1,1,49,11,9,16,12,8,55,22,9,2,1,0,Watch
2020-04-10,None,0,123,89,17,9,8,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,11,4,8,35,16,1,1,44,11,8,12,13,9,40,17,9,2,0,0,Normal
2020-04-11,None,0,119,82,15,9,13,7,2,1,1,1,1,2,5,1,1,1,1,4,4,3,12,3,7,31,15,1,1,32,15,8,15,10,9,38,12,7,3,1,0,Watch
2020-04-12,None,0,112,75,20,8,9,5,2,1,1,1,1,2,4,1,1,1,1,3,3,2,12,4,9,38,16,1,1,41,12,8,13,12,7,49,15,10,3,2,0,Watch
2020-04-13,None,0,129,93,20,9,7,8,2,1,1,1,1,2,5,1,1,2,1,5,3,3,12,4,9,40,17,1,1,40,8,6,11,12,10,36,16,9,2,3,0,High
2020-04-14,None,0,133,94,19,11,9,5,2,1,1,1,1,2,5,1,1,2,1,3,3,2,13,4,9,38,17,1,1,46,12,11,12,13,8,39,16,10,2,3,0,High
2020-04-15,None,0,135,96,19,9,11,8,2,1,1,1,1,2,5,1,1,2,1,5,4,3,13,4,9,39,17,1,1,42,11,7,12,13,8,41,19,9,2,2,0,Watch
2020-04-16,None,0,129,93,14,15,7,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,11,3,7,31,14,1,1,42,10,4,13,12,7,35,12,7,2,1,0,Watch
2020-04-17,None,0,113,86,13,8,6,5,2,1,1,1,1,2,5,1,1,1,1,3,2,2,9,3,6,29,14,1,1,45,12,9,8,11,6,29,20,8,2,1,0,Watch
2020-04-18,None,0,112,75,18,8,11,7,2,1,1,1,1,2,4,1,1,1,1,4,4,3,12,4,9,35,15,1,1,44,11,8,15,11,10,41,15,11,2,0,0,Normal
2020-04-19,None,0,111,75,16,8,12,7,2,1,1,1,1,2,4,1,1,1,1,4,4,3,12,3,8,32,14,1,1,36,11,5,10,11,7,30,12,8,2,4,0,High
2020-04-20,None,0,134,96,22,9,7,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,13,4,10,43,18,1,1,45,10,9,13,12,10,53,18,8,2,0,0,Normal
2020-04-21,None,0,134,94,18,14,8,8,2,1,1,1,1,2,5,1,1,2,1,5,3,3,13,4,9,37,16,1,1,44,12,12,12,12,8,44,22,7,2,2,0,Watch
2020-04-22,None,0,144,102,20,12,10,10,2,1,1,1,1,2,6,1,1,2,1,6,4,3,13,4,9,41,18,1,1,46,7,8,17,12,11,46,24,7,2,0,0,Normal
2020-04-23,None,0,129,91,16,15,7,8,2,1,1,1,1,2,5,1,1,2,1,5,3,3,12,3,8,34,15,1,1,29,11,8,13,11,10,41,17,10,2,0,0,Normal
2020-04-24,None,0,116,87,14,7,8,4,2,1,1,1,1,2,5,1,1,1,1,3,2,2,10,3,7,30,14,1,1,40,12,9,11,12,6,41,14,8,2,1,0,Watch
2020-04-25,None,0,116,77,20,8,11,8,2,1,1,1,1,2,5,1,1,1,1,5,4,3,13,4,9,38,17,1,1,41,10,11,12,12,11,43,21,9,2,1,0,Watch
2020-04-26,None,0,112,76,16,8,12,6,2,1,1,1,1,2,4,1,1,1,1,4,3,2,12,3,8,32,14,1,1,38,11,9,11,10,6,42,15,10,2,2,0,Watch
2020-04-27,None,0,122,92,12,11,7,7,2,1,1,1,1,2,5,1,1,2,1,4,3,2,10,3,6,28,13,1,1,44,8,8,10,10,7,27,18,7,2,1,0,Watch
2020-04-28,None,0,124,88,17,14,5,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,11,4,8,35,16,1,1,44,11,6,13,13,7,42,16,9,2,1,0,Watch
2020-04-29,None,0,144,102,20,10,12,8,2,1,1,1,1,2,6,1,1,2,1,5,4,3,14,4,9,41,18,1,1,48,11,12,17,13,8,54,24,9,2,1,0,Watch
2020-04-30,None,0,130,90,19,15,6,6,2,1,1,1,1,2,5,1,1,2,1,4,3,3,13,4,9,38,17,1,1,37,7,8,14,13,10,34,14,8,2,2,0,Watch
2020-05-01,None,0,122,86,21,8,7,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,12,4,10,41,18,1,1,36,12,10,10,13,12,44,18,8,2,1,0,Watch
2020-05-02,None,0,117,78,18,9,12,8,2,1,1,1,1,2,5,1,1,1,1,5,4,3,13,4,9,35,16,1,1,47,11,8,15,12,9,33,21,6,1,1,0,Watch
2020-05-03,None,0,112,73,18,10,11,9,2,1,1,1,1,2,4,1,1,1,1,5,4,3,13,4,9,35,15,1,1,46,11,9,17,13,9,33,13,7,2,2,0,Watch
2020-05-04,None,0,132,96,20,9,7,9,2,1,1,1,1,2,5,1,1,2,1,5,4,3,12,4,9,40,17,1,1,49,9,6,15,11,8,53,22,11,2,1,0,Watch
2020-05-05,None,0,131,94,17,14,6,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,12,4,8,35,16,1,1,43,7,9,11,12,6,35,14,7,2,3,0,High
2020-05-06,None,0,138,100,15,10,13,9,2,1,1,1,1,2,5,1,1,2,1,5,4,3,12,3,7,33,15,1,1,45,12,10,15,10,8,31,18,9,2,1,0,Watch
2020-05-07,None,0,122,86,16,12,8,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,11,3,8,33,15,1,1,44,11,8,14,11,6,38,14,9,2,2,0,Watch
2020-05-08,None,0,112,82,16,7,7,6,2,1,1,1,1,2,4,1,1,1,1,4,3,2,10,3,8,33,14,1,1,42,12,8,9,11,8,37,16,8,2,1,0,Watch
2020-05-09,None,0,113,78,17,7,11,7,2,1,1,1,1,2,5,1,1,1,1,4,4,3,11,4,8,34,16,1,1,46,12,8,12,11,8,38,15,8,2,1,0,Watch
2020-05-10,None,0,113,77,16,8,12,8,2,1,1,1,1,2,5,1,1,1,1,5,4,3,12,3,8,32,15,1,1,42,11,6,14,12,10,44,21,10,2,0,0,Normal
2020-05-11,None,0,124,95,15,7,7,6,2,1,1,1,1,2,5,1,1,2,1,4,3,2,10,3,7,32,15,1,1,39,12,6,12,11,8,40,16,9,2,0,0,Normal
2020-05-12,None,0,132,95,16,12,9,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,12,3,8,34,15,1,1,47,10,8,14,12,8,47,15,11,2,0,0,Normal
2020-05-13,None,0,135,99,13,10,13,8,2,1,1,1,1,2,5,1,1,2,1,5,4,3,11,3,6,30,14,1,1,28,11,11,10,12,6,27,17,9,2,2,0,Watch
2020-05-14,None,0,121,91,10,15,5,7,2,1,1,1,1,2,5,1,1,2,1,4,3,2,9,2,5,25,12,1,1,44,11,6,10,10,4,26,12,9,2,1,0,Watch
2020-05-15,Diarrheal,3,150,100,34,9,7,7,2,1,1,1,1,2,6,1,1,2,1,4,3,5,17,24,29,61,36,2,1,42,12,10,17,35,29,74,35,9,2,1,0,Watch
2020-05-16,Diarrheal,3,132,82,29,11,10,7,2,1,1,1,1,2,5,1,1,2,1,4,3,5,16,21,25,52,31,2,1,39,12,6,14,27,29,61,35,11,2,1,0,Watch
2020-05-17,Diarrheal,3,144,88,37,10,9,9,2,2,1,1,1,2,6,1,1,2,1,5,4,6,19,26,32,65,38,2,1,40,10,8,20,42,36,78,44,8,2,0,0,Watch
2020-05-18,Diarrheal,3,150,105,31,8,6,7,2,1,1,1,1,2,6,1,1,2,1,4,3,5,15,22,27,57,33,2,1,44,9,9,17,38,26,54,45,8,2,2,0,Watch
2020-05-19,Diarrheal,3,164,109,34,14,7,11,2,1,1,1,1,2,6,1,1,2,1,7,4,6,18,24,29,62,36,2,1,44,10,8,22,39,30,79,48,8,2,0,0,Watch
