date,day_of_week,day_of_week_num,week_of_year,month,season,is_weekend,public_holiday,festival_flag,weekly_market_day,vaccination_camp_flag,maternal_clinic_day,local_event_intensity,rainfall_mm,temperature_max_c,temperature_min_c,humidity_pct,outbreak_type,outbreak_severity_0_5,surveillance_alert,affected_villages,general_opd_arrivals,fever_infectious_arrivals,maternal_child_arrivals,trauma_emergency_arrivals,expected_admissions,total_patient_arrivals,patients_lag_1,patients_lag_2,patients_lag_7,rolling_mean_7,rolling_std_7,patients_lag_14,rolling_mean_14,emergency_scenario_type,emergency_scenario_severity_0_5,vector_borne_cases,respiratory_cases,gastrointestinal_cases,other_fever_cases,severe_respiratory_cases,pediatric_cases,antenatal_cases,obstetric_emergency_cases,immunization_visits,oxygen_support_cases,required_oxygen_cylinders,available_oxygen_cylinders,oxygen_shortage_units,oxygen_shortage_flag,total_general_beds,occupied_general_beds,expected_general_discharges,out_of_service_general_beds,available_general_beds,projected_general_occupancy,overflow_general_patients,required_general_beds,total_emergency_beds,occupied_emergency_beds,expected_emergency_discharges,out_of_service_emergency_beds,available_emergency_beds,projected_emergency_occupancy,overflow_emergency_patients,required_emergency_beds,total_isolation_beds,occupied_isolation_beds,expected_isolation_discharges,out_of_service_isolation_beds,available_isolation_beds,projected_isolation_occupancy,overflow_isolation_patients,required_isolation_beds,overflow_patients,opening_stock_iv_fluids,received_iv_fluids,used_iv_fluids,expired_iv_fluids,closing_stock_iv_fluids,required_iv_fluids,iv_fluids_shortage_units,iv_fluids_reorder_flag,opening_stock_ors,received_ors,used_ors,expired_ors,closing_stock_ors,required_ors,ors_shortage_units,ors_reorder_flag,opening_stock_diagnostic_test_kits,received_diagnostic_test_kits,used_diagnostic_test_kits,expired_diagnostic_test_kits,closing_stock_diagnostic_test_kits,required_diagnostic_test_kits,diagnostic_test_kits_shortage_units,diagnostic_test_kits_reorder_flag,opening_stock_antipyretics,received_antipyretics,used_antipyretics,expired_antipyretics,closing_stock_antipyretics,required_antipyretics,antipyretics_shortage_units,antipyretics_reorder_flag,opening_stock_ppe_kits,received_ppe_kits,used_ppe_kits,expired_ppe_kits,closing_stock_ppe_kits,required_ppe_kits,ppe_kits_shortage_units,ppe_kits_reorder_flag,minimum_obgyn_coverage,required_obgyn_duty_hours,obgyn_on_call_required,obgyn_shortage_flag,minimum_pediatrician_coverage,required_pediatrician_duty_hours,pediatrician_on_call_required,pediatrician_shortage_flag,required_general_doctors,required_physicians,required_emergency_doctors,required_pediatricians,required_obgyn_doctors,required_senior_nursing_officers,required_nursing_officers,required_anm_staff,required_lab_technicians,required_pharmacists,required_ambulance_crew,required_ambulances,available_ambulances,ambulance_shortage_units,ambulance_shortage_flag,resource_shortage_count,emergency_risk_level
2020-01-11,Saturday,6,2,1,Winter,1,0,0,0,0,0,0,0.0,19.3,11.2,61.4,Respiratory,3,1,4,88,43,6,10,9,147,142.0,151.0,107.0,141.86,24.41,,,None,0,7,26,5,5,6,5,0,0,1,8,9,7,2,1,28,15,4,2,11,15,0,15,10,4,0,2,4,4,0,4,28,13,1,1,14,13,0,13,0,248,0,19,0,229,19,0,0,236,0,9,0,227,9,0,0,196,0,21,0,175,21,0,0,587,0,41,1,545,41,0,0,313,0,25,0,288,25,0,0,2,8,0,0,1,8,1,0,2,2,1,1,1,2,6,1,2,1,1,1,4,0,0,1,Watch
2020-01-12,Sunday,7,2,1,Winter,1,0,0,0,0,0,0,0.0,21.0,13.3,53.9,Respiratory,3,1,4,83,42,7,11,10,143,147.0,142.0,104.0,147.57,19.83,,,None,0,3,29,8,2,11,3,3,0,1,12,12,5,7,1,28,17,1,0,11,17,0,17,10,3,4,1,6,3,0,3,28,15,2,0,13,15,0,15,0,229,0,21,0,208,21,0,0,227,0,11,0,216,11,0,0,175,0,19,0,156,19,0,0,545,0,40,1,504,40,0,0,288,0,34,0,254,34,0,0,2,8,0,0,1,8,0,0,2,2,1,1,1,2,6,1,1,1,1,1,3,0,0,1,Watch
2020-01-13,Monday,1,3,1,Winter,0,0,0,0,0,0,0,0.0,27.9,18.9,48.2,Respiratory,3,1,4,106,37,7,7,9,157,143.0,147.0,158.0,153.14,9.7,,,None,0,5,25,5,2,11,3,1,0,3,12,12,4,8,1,28,16,6,0,12,16,0,16,10,2,1,0,8,2,0,2,28,17,2,1,10,17,0,17,0,208,0,18,0,190,18,0,1,216,0,8,0,208,8,0,0,156,0,19,0,137,19,0,0,504,0,38,1,465,38,0,0,254,0,32,0,222,32,0,1,2,8,0,0,1,8,0,0,3,1,1,1,1,2,6,1,1,1,1,1,4,0,0,1,Watch
2020-01-14,Tuesday,2,3,1,Winter,0,0,0,0,0,1,0,1.7,23.3,17.6,48.2,Respiratory,3,1,5,102,36,13,5,9,156,157.0,143.0,160.0,153.0,9.64,,,None,0,3,24,6,3,13,6,4,1,2,13,13,7,6,1,28,19,3,1,8,19,0,19,10,2,0,1,7,2,0,2,28,16,4,0,12,16,0,16,0,190,0,18,0,172,18,0,0,208,0,9,0,199,9,0,0,137,0,18,0,119,18,0,0,465,0,37,1,427,37,0,0,222,0,31,0,191,31,0,0,2,20,1,1,1,20,1,1,3,1,1,2,2,2,7,2,1,1,1,1,2,0,0,3,High
2020-01-15,Wednesday,3,3,1,Winter,0,0,0,1,0,0,1,0.0,21.6,13.7,57.6,Respiratory,3,1,5,104,34,7,12,9,157,156.0,157.0,171.0,152.43,9.32,126.0,139.71,None,0,8,19,4,3,8,2,3,0,2,9,10,5,5,1,28,16,7,1,11,16,0,16,10,0,2,2,8,0,0,0,28,20,1,0,8,20,0,20,0,172,0,17,0,155,17,0,0,199,0,7,0,192,7,0,0,119,0,19,0,100,19,0,0,427,0,36,1,390,36,0,1,191,0,29,0,162,29,0,0,2,8,0,0,1,8,0,0,3,1,1,1,1,2,7,1,1,1,1,1,2,0,0,1,Watch
2020-01-16,Thursday,4,3,1,Winter,0,0,0,0,0,1,0,0.0,22.6,14.3,52.2,Respiratory,3,1,5,93,36,11,6,9,146,157.0,156.0,151.0,150.43,6.04,124.0,141.93,None,0,6,27,0,3,13,3,6,0,2,13,13,6,7,1,28,16,3,0,12,16,0,16,10,3,0,0,7,3,0,3,28,20,3,2,6,20,0,20,0,155,0,16,0,139,16,0,0,192,0,4,0,188,4,0,0,380,280,18,0,362,18,0,0,390,0,36,1,353,36,0,0,162,0,33,0,129,33,0,0,2,8,1,0,1,8,0,0,2,1,1,1,1,2,7,2,1,1,1,1,4,0,0,1,Watch
2020-01-17,Friday,5,3,1,Winter,0,0,0,0,0,0,0,0.0,22.2,12.9,56.2,Respiratory,3,1,5,97,39,7,9,8,152,146.0,157.0,142.0,149.71,6.23,110.0,143.5,None,0,5,23,8,3,7,2,4,1,0,9,10,7,3,1,28,15,7,0,13,15,0,15,10,4,0,1,5,4,0,4,28,18,3,2,8,18,0,18,0,139,0,18,0,121,18,0,0,188,0,11,0,177,11,0,0,362,0,20,0,342,20,0,0,353,0,39,1,313,39,0,0,129,0,22,0,107,22,0,0,2,12,1,0,1,8,0,0,3,2,1,1,1,2,7,1,1,1,1,1,2,0,0,1,Watch
2020-01-18,Saturday,6,3,1,Winter,1,0,0,0,0,0,0,0.0,26.2,18.5,52.6,Respiratory,3,1,5,85,40,8,13,10,146,152.0,146.0,147.0,151.14,5.38,107.0,146.5,None,0,6,25,2,7,9,5,2,1,0,10,10,6,4,1,28,21,1,1,6,21,0,21,10,1,3,2,7,1,0,1,28,17,4,0,11,17,0,17,0,421,300,19,1,401,19,0,0,177,0,6,0,171,6,0,0,342,0,19,0,323,19,0,0,313,0,39,1,273,39,0,0,107,0,29,0,78,29,0,0,2,12,1,0,1,8,1,0,2,2,2,1,1,2,7,1,1,1,1,1,2,0,0,1,Watch
2020-01-19,Sunday,7,3,1,Winter,1,0,0,0,0,0,0,0.0,25.1,19.4,52.4,Respiratory,3,1,4,83,43,7,12,9,145,146.0,152.0,143.0,151.0,5.5,104.0,149.29,None,0,6,28,6,3,15,2,3,1,1,15,14,7,7,1,28,25,3,1,2,25,0,25,10,1,0,1,8,1,0,1,28,17,2,2,9,17,0,17,0,401,0,19,1,381,19,0,0,171,0,10,0,161,10,0,0,323,0,20,0,303,20,0,0,273,0,41,0,232,41,0,0,78,0,33,0,45,33,0,0,2,12,1,0,1,8,0,0,2,2,1,1,1,2,7,1,1,1,1,1,3,0,0,1,Watch
2020-01-20,Monday,1,4,1,Winter,0,0,0,0,0,0,0,1.6,23.0,15.0,60.8,Respiratory,3,1,5,106,37,7,8,10,158,145.0,146.0,157.0,151.29,5.12,158.0,152.21,None,0,4,24,5,4,13,3,3,0,1,13,13,8,5,1,28,22,8,0,6,22,0,22,10,1,1,2,7,1,0,1,28,15,6,1,12,15,0,15,0,381,0,19,1,361,19,0,0,161,0,8,0,153,8,0,0,303,0,19,0,284,19,0,0,932,700,38,2,892,38,0,0,445,400,33,0,412,33,0,0,2,8,0,0,1,8,0,0,3,1,1,1,1,2,7,1,1,1,1,1,2,0,0,1,Watch
2020-01-21,Tuesday,2,4,1,Winter,0,0,0,0,0,1,0,0.0,23.3,14.2,54.5,Respiratory,3,1,4,103,32,12,2,7,149,158.0,145.0,156.0,151.43,5.29,160.0,152.21,None,0,1,21,3,7,9,4,5,1,2,10,10,7,3,1,28,18,7,1,9,18,0,18,10,3,0,4,3,3,0,3,28,13,4,2,13,13,0,13,0,361,0,14,1,346,14,0,0,153,0,6,0,147,6,0,0,284,0,17,0,267,17,0,0,892,0,34,2,856,34,0,0,412,0,25,0,387,25,0,0,2,12,1,0,1,8,1,0,3,1,1,1,1,2,6,2,1,1,1,1,3,0,0,1,Watch
2020-01-22,Wednesday,3,4,1,Winter,0,0,0,1,0,0,1,0.0,23.7,15.2,58.5,Respiratory,3,1,5,117,39,7,15,11,178,149.0,158.0,157.0,150.43,4.98,171.0,151.43,None,0,3,26,7,3,10,3,3,0,1,11,11,4,7,1,28,10,10,2,16,10,0,10,10,7,3,2,1,7,0,7,28,12,3,1,15,12,0,12,0,346,0,21,1,324,21,0,0,147,0,10,0,137,10,0,0,267,0,20,0,247,20,0,0,856,0,41,2,813,41,0,0,387,0,28,0,359,28,0,0,2,8,0,0,1,8,0,0,3,2,2,1,1,3,6,1,1,1,2,2,3,0,0,1,Watch
2020-01-23,Thursday,4,4,1,Winter,0,0,0,0,0,1,0,0.0,21.3,13.4,52.0,Respiratory,3,1,4,99,37,12,7,10,155,178.0,149.0,146.0,153.43,10.87,151.0,151.93,None,0,6,24,3,4,9,3,5,2,2,10,10,5,5,1,28,14,3,0,14,14,0,14,10,4,4,0,6,4,0,4,28,12,2,1,15,12,0,12,0,324,0,18,1,305,18,0,0,137,0,6,0,131,6,0,0,247,0,19,0,228,19,0,0,813,0,38,2,773,38,0,0,359,0,26,0,333,26,0,0,2,20,1,1,1,8,0,0,3,1,1,1,2,2,6,2,1,1,1,1,3,0,0,2,Watch
2020-01-24,Friday,5,4,1,Winter,0,0,0,0,0,0,0,0.0,21.4,14.6,49.2,Respiratory,3,1,4,98,34,7,8,9,147,155.0,178.0,152.0,154.71,10.44,142.0,152.21,None,0,6,19,7,2,4,3,2,0,2,6,7,6,1,1,28,13,7,0,15,13,0,13,10,2,2,0,8,2,0,2,28,14,1,2,12,14,0,14,0,305,0,18,1,286,18,0,0,131,0,10,0,121,10,0,1,228,0,18,0,210,18,0,0,773,0,35,1,737,35,0,0,333,0,22,0,311,22,0,0,2,8,0,0,1,8,0,0,3,1,1,1,1,2,6,1,1,1,1,1,4,0,0,1,Watch
2020-01-25,Saturday,6,4,1,Winter,1,0,0,0,0,0,0,0.5,24.2,17.9,55.2,Respiratory,3,1,4,86,41,9,14,11,150,147.0,155.0,146.0,154.0,10.77,147.0,152.57,None,0,9,25,6,1,13,3,3,1,2,13,13,6,7,1,28,13,3,2,13,13,0,13,10,5,2,2,3,5,0,5,28,16,1,0,12,16,0,16,0,286,0,21,1,264,21,0,0,121,0,10,0,111,10,0,0,210,0,20,0,190,20,0,1,737,0,40,1,696,40,0,0,311,0,32,0,279,32,0,0,2,12,1,0,1,8,0,0,2,2,2,1,1,2,6,1,1,1,2,2,4,0,0,1,Watch
2020-01-26,Sunday,7,4,1,Winter,1,1,0,0,0,0,1,0.0,23.0,14.6,54.1,Respiratory,3,1,5,84,37,7,13,9,141,150.0,147.0,145.0,154.57,10.43,143.0,152.79,None,0,5,24,3,5,12,4,0,1,2,12,12,5,7,1,28,16,2,0,12,16,0,16,10,1,4,1,8,1,0,1,28,14,6,2,12,14,0,14,0,264,0,17,0,247,17,0,0,111,0,6,0,105,6,0,0,190,0,18,0,172,18,0,0,696,0,36,1,659,36,0,0,279,0,33,0,246,33,0,0,2,12,1,0,1,8,1,0,2,1,2,1,1,2,6,1,1,1,1,1,2,0,0,1,Watch
2020-01-27,Monday,1,5,1,Winter,0,0,0,0,0,0,0,0.0,23.8,15.0,54.4,Respiratory,3,1,4,109,38,6,5,7,158,141.0,150.0,158.0,154.0,11.03,157.0,152.64,None,0,7,24,2,5,9,2,2,0,2,10,10,4,6,1,28,16,1,0,12,16,0,16,10,3,1,2,5,3,0,3,28,13,4,0,15,13,0,13,0,247,0,15,0,232,15,0,0,105,0,6,0,99,6,0,0,172,0,20,0,152,20,0,0,659,0,39,1,619,39,0,0,246,0,28,0,218,28,0,1,2,8,0,0,1,8,0,0,3,2,1,1,1,2,6,1,1,1,1,1,2,0,0,1,Watch
2020-01-28,Tuesday,2,5,1,Winter,0,0,0,0,0,1,0,0.0,23.4,15.7,54.6,Respiratory,3,1,4,104,40,10,6,7,160,158.0,141.0,149.0,154.0,11.03,156.0,152.71,None,0,4,27,6,3,9,2,3,3,2,11,11,4,7,1,28,14,6,2,12,14,0,14,10,3,1,1,6,3,0,3,28,13,2,2,13,13,0,13,0,232,0,16,0,216,16,0,0,99,0,9,0,90,9,0,0,152,0,20,0,132,20,0,0,619,0,40,1,578,40,0,0,218,0,28,0,190,28,0,0,2,20,1,1,1,8,0,0,3,2,1,1,2,3,6,1,1,1,1,1,4,0,0,2,Watch
2020-01-29,Wednesday,3,5,1,Winter,0,0,0,1,0,0,1,0.0,23.4,15.5,54.1,Respiratory,3,1,4,112,38,7,14,10,171,160.0,158.0,178.0,155.57,10.99,157.0,153.0,None,0,9,24,4,1,9,5,2,0,0,10,10,4,6,1,28,12,6,1,15,12,0,12,10,6,0,0,4,6,0,6,28,13,3,1,14,13,0,13,0,216,0,19,0,197,19,0,1,340,250,7,1,332,7,0,0,132,0,21,0,111,21,0,0,578,0,39,1,538,39,0,0,190,0,28,0,162,28,0,0,2,8,0,0,1,8,1,0,3,2,2,1,1,3,6,1,2,1,2,2,4,0,0,1,Watch
2020-01-30,Thursday,4,5,1,Winter,0,0,0,0,0,1,0,0.0,24.8,16.0,54.9,Respiratory,3,1,5,97,37,12,8,9,154,171.0,160.0,155.0,154.57,9.05,146.0,154.0,None,0,5,17,6,9,4,1,8,2,1,6,7,8,0,0,28,14,3,1,13,14,0,14,10,5,2,2,3,5,0,5,28,16,0,0,12,16,0,16,0,197,0,18,0,179,18,0,0,332,0,9,1,322,9,0,0,111,0,19,0,92,19,0,0,538,0,37,1,500,37,0,0,162,0,21,0,141,21,0,0,2,20,1,1,1,8,0,0,3,1,1,1,2,2,6,2,1,1,1,1,4,0,0,1,Watch
2020-01-31,Friday,5,5,1,Winter,0,0,0,0,0,0,0,0.0,24.3,17.8,62.4,Respiratory,3,1,5,101,41,8,7,9,157,154.0,171.0,147.0,154.43,9.05,152.0,154.57,None,0,7,22,4,8,10,2,5,0,1,11,11,5,6,1,28,20,1,1,7,20,0,20,10,2,4,2,6,2,0,2,28,16,1,0,12,16,0,16,0,179,0,18,0,161,18,0,0,322,0,8,1,313,8,0,0,372,280,21,0,351,21,0,0,500,0,41,1,458,41,0,0,141,0,24,0,117,24,0,0,2,8,0,0,1,8,0,0,3,2,1,1,1,2,7,1,2,1,1,1,3,0,0,1,Watch
2020-02-01,Saturday,6,5,2,Winter,1,0,0,0,1,0,0,0.1,23.3,13.6,50.8,Respiratory,3,1,5,88,39,12,11,10,150,157.0,154.0,150.0,155.86,8.54,146.0,154.93,None,0,6,26,3,4,11,6,3,1,2,12,12,8,4,1,28,17,7,1,10,17,0,17,10,3,0,2,5,3,0,3,28,20,1,2,6,20,0,20,0,161,0,19,0,142,19,0,0,313,0,7,1,305,7,0,0,351,0,19,0,332,19,0,0,458,0,38,1,419,38,0,0,117,0,35,0,82,35,0,0,2,12,1,0,1,20,1,1,2,2,1,2,1,2,7,2,1,1,1,1,3,0,0,2,Watch
2020-02-02,Sunday,7,5,2,Winter,1,0,0,0,0,0,0,0.0,21.8,14.0,65.8,Respiratory,3,1,5,88,42,7,12,10,149,150.0,157.0,141.0,155.86,8.54,145.0,155.21,None,0,7,27,6,2,9,1,3,1,2,11,11,5,6,1,28,15,6,1,12,15,0,15,10,5,0,0,5,5,0,5,28,22,2,0,6,22,0,22,0,142,0,20,0,122,20,0,0,305,0,10,1,294,10,0,0,332,0,20,0,312,20,0,0,419,0,41,1,377,41,0,1,82,0,32,0,50,32,0,0,2,12,1,0,1,8,0,0,2,2,1,1,1,2,7,1,1,1,1,1,2,0,0,1,Watch
2020-02-03,Monday,1,6,2,Winter,0,0,0,0,0,0,0,0.0,23.9,16.4,55.5,Respiratory,3,1,6,104,39,8,7,8,158,149.0,150.0,158.0,157.0,6.85,158.0,155.5,None,0,7,25,2,5,11,2,4,1,1,12,12,5,7,1,28,16,3,2,10,16,0,16,10,3,3,2,5,3,0,3,28,22,3,1,5,22,0,22,0,422,300,16,1,405,16,0,0,294,0,6,1,287,6,0,0,312,0,20,0,292,20,0,0,377,0,40,1,336,40,0,0,450,400,30,0,420,30,0,0,2,12,1,0,1,8,0,0,3,2,1,1,1,2,7,1,1,1,1,1,2,0,0,1,Watch
2020-02-04,Tuesday,2,6,2,Winter,0,0,0,0,0,1,0,0.0,25.9,16.0,56.3,Respiratory,3,1,4,105,41,13,5,10,164,158.0,149.0,160.0,157.0,6.85,149.0,155.5,None,0,4,30,2,5,18,4,3,2,4,17,16,6,10,1,28,20,3,0,8,20,0,20,10,5,0,2,3,5,0,5,28,21,2,1,6,21,0,21,0,405,0,19,1,385,19,0,0,287,0,6,1,280,6,0,0,292,0,20,0,272,20,0,0,336,0,41,1,294,41,0,0,420,0,34,0,386,34,0,0,2,20,1,1,1,8,1,0,3,2,1,1,2,3,7,2,1,1,1,1,3,0,0,2,Watch
