date,day_of_week,day_of_week_num,week_of_year,month,season,is_weekend,public_holiday,festival_flag,weekly_market_day,vaccination_camp_flag,maternal_clinic_day,local_event_intensity,rainfall_mm,temperature_max_c,temperature_min_c,humidity_pct,outbreak_type,outbreak_severity_0_5,surveillance_alert,affected_villages,general_opd_arrivals,fever_infectious_arrivals,maternal_child_arrivals,trauma_emergency_arrivals,expected_admissions,total_patient_arrivals,patients_lag_1,patients_lag_2,patients_lag_7,rolling_mean_7,rolling_std_7,patients_lag_14,rolling_mean_14,required_general_doctors,required_physicians,required_emergency_doctors,required_pediatricians,required_obgyn_doctors,required_senior_nursing_officers,required_nursing_officers,required_anm_staff,required_lab_technicians,required_pharmacists,required_ambulance_crew,required_general_beds,required_emergency_beds,required_isolation_beds,required_iv_fluid_units,required_ors_units,required_diagnostic_test_kits,required_antipyretic_units,required_ppe_kits,required_oxygen_cylinders,required_ambulances,available_general_beds,available_emergency_beds,available_isolation_beds,stock_iv_fluid_units,stock_ors_units,stock_diagnostic_test_kits,stock_antipyretic_units,stock_ppe_kits,available_oxygen_cylinders,available_ambulances,resource_shortage_count,overflow_patients,emergency_risk_level
2020-01-11,Saturday,6,2,1,Winter,1,0,0,0,0,0,0,0.0,19.3,11.2,61.4,Respiratory,3,1,4,88,43,6,10,9,147,142.0,151.0,107.0,141.86,24.41,,,2,2,1,1,1,2,6,1,1,2,1,5,4,6,20,8,37,74,43,10,1,39,11,9,24,15,42,85,43,7,2,1,0,Watch
2020-01-12,Sunday,7,2,1,Winter,1,0,0,0,0,0,0,0.0,21.0,13.3,53.9,Respiratory,3,1,4,83,42,7,11,10,143,147.0,142.0,104.0,147.57,19.83,,,2,2,1,1,1,2,6,1,1,2,1,6,4,6,20,8,36,72,42,10,1,43,11,7,18,17,48,91,50,9,1,2,0,Watch
2020-01-13,Monday,1,3,1,Winter,0,0,0,0,0,0,0,0.0,27.9,18.9,48.2,Respiratory,3,1,4,106,37,7,7,9,157,143.0,147.0,158.0,153.14,9.7,,,2,2,1,1,1,2,6,1,1,2,1,5,4,6,17,7,32,67,38,9,1,42,12,11,15,14,28,63,52,10,2,3,0,High
2020-01-14,Tuesday,2,3,1,Winter,0,0,0,0,0,1,0,1.7,23.3,17.6,48.2,Respiratory,3,1,5,102,36,13,5,9,156,157.0,143.0,160.0,153.0,9.64,,,2,2,1,1,1,2,6,1,1,2,1,5,3,6,18,7,31,65,37,8,1,42,9,10,17,17,41,79,40,8,2,1,0,Watch
2020-01-15,Wednesday,3,3,1,Winter,0,0,0,1,0,0,1,0.0,21.6,13.7,57.6,Respiratory,3,1,5,104,34,7,12,9,157,156.0,157.0,171.0,152.43,9.32,126.0,139.71,2,1,1,1,1,2,6,1,1,2,1,5,4,6,18,7,29,62,36,8,1,39,14,5,21,14,34,76,34,8,2,2,0,Watch
2020-01-16,Thursday,4,3,1,Winter,0,0,0,0,0,1,0,0.0,22.6,14.3,52.2,Respiratory,3,1,5,93,36,11,6,9,146,157.0,156.0,151.0,150.43,6.04,124.0,141.93,2,2,1,1,1,2,6,1,1,2,1,5,3,6,18,7,31,64,37,8,1,47,10,9,20,17,41,88,50,9,2,0,0,Watch
2020-01-17,Friday,5,3,1,Winter,0,0,0,0,0,0,0,0.0,22.2,12.9,56.2,Respiratory,3,1,5,97,39,7,9,8,152,146.0,157.0,142.0,149.71,6.23,110.0,143.5,2,2,1,1,1,2,6,1,1,2,1,5,4,6,19,8,34,69,40,9,1,43,11,6,20,14,41,65,40,7,2,2,0,Watch
2020-01-18,Saturday,6,3,1,Winter,1,0,0,0,0,0,0,0.0,26.2,18.5,52.6,Respiratory,3,1,5,85,40,8,13,10,146,152.0,146.0,147.0,151.14,5.38,107.0,146.5,2,2,1,1,1,2,6,1,1,2,1,6,5,6,20,8,34,69,40,9,1,43,12,7,20,15,40,67,53,12,2,1,0,Watch
2020-01-19,Sunday,7,3,1,Winter,1,0,0,0,0,0,0,0.0,25.1,19.4,52.4,Respiratory,3,1,4,83,43,7,12,9,145,146.0,152.0,143.0,151.0,5.5,104.0,149.29,2,2,1,1,1,2,6,1,1,2,1,5,4,6,21,8,37,73,43,10,1,42,10,10,22,18,49,76,54,11,2,0,0,Watch
2020-01-20,Monday,1,4,1,Winter,0,0,0,0,0,0,0,1.6,23.0,15.0,60.8,Respiratory,3,1,5,106,37,7,8,10,158,145.0,146.0,157.0,151.29,5.12,158.0,152.21,2,2,1,1,1,2,6,1,1,2,1,6,4,6,18,7,32,67,38,9,1,42,11,12,23,14,34,70,50,7,2,1,0,Watch
2020-01-21,Tuesday,2,4,1,Winter,0,0,0,0,0,1,0,0.0,23.3,14.2,54.5,Respiratory,3,1,4,103,32,12,2,7,149,158.0,145.0,156.0,151.43,5.29,160.0,152.21,2,1,1,1,1,2,6,1,1,2,1,4,2,5,15,6,28,59,34,7,1,42,13,9,20,14,29,81,43,6,2,1,0,Watch
2020-01-22,Wednesday,3,4,1,Winter,0,0,0,1,0,0,1,0.0,23.7,15.2,58.5,Respiratory,3,1,5,117,39,7,15,11,178,149.0,158.0,157.0,150.43,4.98,171.0,151.43,3,2,1,1,1,2,7,1,1,2,1,7,5,7,20,8,34,71,41,9,1,43,12,7,19,18,25,95,54,8,2,3,0,High
2020-01-23,Thursday,4,4,1,Winter,0,0,0,0,0,1,0,0.0,21.3,13.4,52.0,Respiratory,3,1,4,99,37,12,7,10,155,178.0,149.0,146.0,153.43,10.87,151.0,151.93,2,2,1,1,1,2,6,1,1,2,1,6,4,6,19,7,32,66,38,9,1,43,11,6,19,16,32,91,37,10,2,1,0,Watch
2020-01-24,Friday,5,4,1,Winter,0,0,0,0,0,0,0,0.0,21.4,14.6,49.2,Respiratory,3,1,4,98,34,7,8,9,147,155.0,178.0,152.0,154.71,10.44,142.0,152.21,2,1,1,1,1,2,6,1,1,2,1,5,4,6,17,7,29,61,36,8,1,42,7,10,20,16,35,85,30,7,2,2,0,Watch
2020-01-25,Saturday,6,4,1,Winter,1,0,0,0,0,0,0,0.5,24.2,17.9,55.2,Respiratory,3,1,4,86,41,9,14,11,150,147.0,155.0,146.0,154.0,10.77,147.0,152.57,2,2,1,1,1,2,6,1,1,2,1,7,5,7,21,8,35,71,41,10,1,42,12,8,19,16,42,66,36,8,2,4,0,High
2020-01-26,Sunday,7,4,1,Winter,1,1,0,0,0,0,1,0.0,23.0,14.6,54.1,Respiratory,3,1,5,84,37,7,13,9,141,150.0,147.0,145.0,154.57,10.43,143.0,152.79,2,2,1,1,1,2,6,1,1,2,1,5,4,6,19,7,32,64,38,9,1,43,11,9,23,14,41,82,32,9,2,1,0,Watch
2020-01-27,Monday,1,5,1,Winter,0,0,0,0,0,0,0,0.0,23.8,15.0,54.4,Respiratory,3,1,4,109,38,6,5,7,158,141.0,150.0,158.0,154.0,11.03,157.0,152.64,2,2,1,1,1,2,6,1,1,2,1,4,3,5,17,7,33,68,39,9,1,42,5,9,20,16,36,70,54,9,2,0,0,Watch
2020-01-28,Tuesday,2,5,1,Winter,0,0,0,0,0,1,0,0.0,23.4,15.7,54.6,Respiratory,3,1,4,104,40,10,6,7,160,158.0,141.0,149.0,154.0,11.03,156.0,152.71,2,2,1,1,1,2,6,1,1,2,1,4,3,5,19,8,34,71,40,9,1,42,10,7,18,17,29,73,35,8,2,4,0,High
2020-01-29,Wednesday,3,5,1,Winter,0,0,0,1,0,0,1,0.0,23.4,15.5,54.1,Respiratory,3,1,4,112,38,7,14,10,171,160.0,158.0,178.0,155.57,10.99,157.0,153.0,3,2,1,1,1,2,7,1,1,2,1,6,5,6,20,7,33,69,40,9,1,44,13,13,23,13,33,65,44,4,2,2,0,Watch
2020-01-30,Thursday,4,5,1,Winter,0,0,0,0,0,1,0,0.0,24.8,16.0,54.9,Respiratory,3,1,5,97,37,12,8,9,154,171.0,160.0,155.0,154.57,9.05,146.0,154.0,2,2,1,1,1,2,6,1,1,2,1,5,4,6,19,7,32,66,38,9,1,45,11,8,25,14,24,63,55,9,2,2,0,Watch
2020-01-31,Friday,5,5,1,Winter,0,0,0,0,0,0,0,0.0,24.3,17.8,62.4,Respiratory,3,1,5,101,41,8,7,9,157,154.0,171.0,147.0,154.43,9.05,152.0,154.57,2,2,1,1,1,2,6,1,1,2,1,5,4,6,19,8,35,72,41,9,1,42,11,9,16,16,35,77,50,10,2,1,0,Watch
2020-02-01,Saturday,6,5,2,Winter,1,0,0,0,1,0,0,0.1,23.3,13.6,50.8,Respiratory,3,1,5,88,39,12,11,10,150,157.0,154.0,150.0,155.86,8.54,146.0,154.93,2,2,1,1,1,2,6,1,1,2,1,6,4,6,20,8,34,68,40,9,1,42,11,8,18,16,27,68,44,7,2,3,0,High
2020-02-02,Sunday,7,5,2,Winter,1,0,0,0,0,0,0,0.0,21.8,14.0,65.8,Respiratory,3,1,5,88,42,7,12,10,149,150.0,157.0,141.0,155.86,8.54,145.0,155.21,2,2,1,1,1,2,6,1,1,2,1,6,4,6,21,8,36,72,42,10,1,37,11,9,20,18,47,69,51,9,2,3,0,High
2020-02-03,Monday,1,6,2,Winter,0,0,0,0,0,0,0,0.0,23.9,16.4,55.5,Respiratory,3,1,6,104,39,8,7,8,158,149.0,150.0,158.0,157.0,6.85,158.0,155.5,2,2,1,1,1,2,6,1,1,2,1,5,3,6,18,8,34,69,40,9,1,40,11,7,16,16,43,74,42,9,2,1,0,Watch
2020-02-04,Tuesday,2,6,2,Winter,0,0,0,0,0,1,0,0.0,25.9,16.0,56.3,Respiratory,3,1,4,105,41,13,5,10,164,158.0,149.0,160.0,157.0,6.85,149.0,155.5,2,2,1,1,1,2,6,1,1,2,1,6,4,6,20,8,35,72,41,9,1,40,12,8,20,15,46,75,41,8,2,1,0,Watch
2020-02-05,Wednesday,3,6,2,Winter,0,0,0,1,0,0,1,0.0,21.6,14.5,60.7,Respiratory,3,1,4,108,40,8,13,11,169,164.0,158.0,171.0,157.57,7.23,178.0,156.57,2,2,1,1,1,2,7,1,1,2,1,7,5,7,20,8,34,71,41,9,1,48,10,5,19,15,30,97,51,10,2,3,0,High
2020-02-06,Thursday,4,6,2,Winter,0,0,0,0,0,1,0,0.0,23.3,14.9,53.3,,0,0,0,84,17,12,10,8,123,169.0,164.0,154.0,157.29,6.71,155.0,155.93,2,1,1,1,1,2,5,1,1,2,1,5,4,3,12,4,8,34,16,1,1,42,12,9,13,12,9,33,18,9,2,1,0,Watch
2020-02-07,Friday,5,6,2,Winter,0,0,0,0,0,0,0,0.1,23.6,18.1,50.4,,0,0,0,82,20,8,7,7,117,123.0,169.0,157.0,152.86,13.85,147.0,153.64,2,1,1,1,1,2,5,1,1,1,1,4,3,3,12,4,9,39,17,1,1,42,11,8,12,12,6,37,16,9,2,3,0,High
2020-02-08,Saturday,6,6,2,Winter,1,0,0,0,0,0,0,0.0,24.1,14.1,50.5,,0,0,0,76,18,7,13,8,114,117.0,123.0,150.0,147.14,18.45,150.0,151.5,2,1,1,1,1,2,5,1,1,1,1,5,4,3,12,4,9,35,16,1,1,42,11,8,14,12,7,35,20,9,2,1,0,Watch
2020-02-09,Sunday,7,6,2,Winter,1,0,0,0,0,0,0,0.0,24.5,15.3,55.2,,0,0,0,70,22,5,9,6,106,114.0,117.0,149.0,142.0,21.67,141.0,148.93,2,1,1,1,1,2,4,1,1,1,1,4,3,3,12,4,10,40,17,1,1,43,11,8,15,12,10,37,15,11,3,2,0,Watch
2020-02-10,Monday,1,7,2,Winter,0,0,0,0,0,0,0,0.0,23.7,16.0,49.6,,0,0,0,96,16,7,5,5,124,106.0,114.0,158.0,135.86,24.7,158.0,146.43,2,1,1,1,1,2,5,1,1,2,1,3,2,2,9,3,8,34,15,1,1,40,10,9,11,11,10,45,14,10,2,1,0,Watch
2020-02-11,Tuesday,2,7,2,Winter,0,0,0,0,0,1,0,0.0,24.2,17.3,49.6,,0,0,0,90,18,11,8,7,127,124.0,106.0,164.0,131.0,23.16,160.0,144.0,2,1,1,1,1,2,5,1,1,2,1,4,3,3,12,4,9,36,16,1,1,40,12,9,16,12,9,37,21,10,2,0,0,Normal
2020-02-12,Wednesday,3,7,2,Winter,0,0,0,1,0,0,1,0.0,25.5,17.5,53.1,,0,0,0,97,22,9,12,9,140,127.0,124.0,169.0,125.71,18.85,171.0,141.64,2,1,1,1,1,2,5,1,1,2,1,5,4,3,14,4,10,43,18,2,1,49,11,8,18,12,11,56,15,10,2,1,0,Watch
2020-02-13,Thursday,4,7,2,Winter,0,0,0,0,0,1,0,0.0,27.8,17.5,55.7,,0,0,0,82,17,13,7,7,119,140.0,127.0,123.0,121.57,9.98,154.0,139.43,2,1,1,1,1,2,5,1,1,1,1,4,3,3,12,4,8,34,16,1,1,39,13,8,14,11,7,34,17,9,2,1,0,Watch
2020-02-14,Friday,5,7,2,Winter,0,0,0,0,0,0,0,0.0,23.5,16.3,54.4,,0,0,0,82,18,7,3,4,110,119.0,140.0,117.0,121.0,10.0,157.0,136.93,2,1,1,1,1,2,4,1,1,1,1,3,2,2,9,4,9,36,15,1,1,42,12,9,9,13,8,46,12,9,2,2,0,Watch
2020-02-15,Saturday,6,7,2,Winter,1,0,0,0,0,0,0,0.0,21.6,16.3,54.5,,0,0,0,76,20,7,12,8,115,110.0,119.0,114.0,120.0,10.68,150.0,133.57,2,1,1,1,1,2,5,1,1,1,1,5,4,3,13,4,9,38,17,1,1,41,14,5,16,12,8,41,20,9,2,1,0,Watch
2020-02-16,Sunday,7,7,2,Winter,1,0,0,0,0,0,0,0.0,23.8,15.1,48.5,,0,0,0,71,18,7,11,7,107,115.0,110.0,106.0,120.14,10.6,149.0,131.07,2,1,1,1,1,2,4,1,1,1,1,4,4,3,12,4,9,35,15,1,1,44,12,8,12,13,10,48,18,5,2,0,0,Normal
2020-02-17,Monday,1,8,2,Winter,0,0,0,0,0,0,0,0.3,25.9,16.1,58.1,,0,0,0,95,19,7,4,6,125,107.0,115.0,124.0,120.29,10.42,158.0,128.07,2,1,1,1,1,2,5,1,1,2,1,4,2,3,10,4,9,38,17,1,1,47,11,11,11,11,8,37,18,9,2,2,0,Watch
2020-02-18,Tuesday,2,8,2,Winter,0,0,0,0,0,1,0,0.0,22.3,13.1,55.4,,0,0,0,88,20,13,10,8,131,125.0,107.0,127.0,120.43,10.47,164.0,125.71,2,1,1,1,1,2,5,1,1,2,1,5,4,3,14,4,9,39,17,1,1,45,11,10,15,12,9,47,22,8,2,0,0,Normal
2020-02-19,Wednesday,3,8,2,Winter,0,0,0,1,0,0,1,0.0,26.7,18.6,50.4,,0,0,0,95,19,9,13,10,136,131.0,125.0,140.0,121.0,10.92,169.0,123.36,2,1,1,1,1,2,5,1,1,2,1,6,5,3,13,4,9,38,17,1,1,40,7,9,17,12,8,41,16,8,2,2,0,Watch
2020-02-20,Thursday,4,8,2,Winter,0,0,0,0,1,1,0,0.9,27.6,20.0,50.3,,0,0,0,93,19,16,9,7,137,136.0,131.0,119.0,120.43,9.97,123.0,121.0,2,1,1,1,1,2,5,2,1,2,1,4,3,3,14,4,9,38,17,1,1,42,8,9,17,12,7,42,20,11,2,1,0,Watch
2020-02-21,Friday,5,8,2,Winter,0,0,0,0,0,0,0,0.0,21.8,12.8,49.3,,0,0,0,90,19,8,6,6,123,137.0,136.0,110.0,123.0,11.48,117.0,122.0,2,1,1,1,1,2,5,1,1,2,1,4,3,3,11,4,9,38,17,1,1,34,11,10,13,12,11,51,22,9,2,0,0,Normal
2020-02-22,Saturday,6,8,2,Winter,1,0,0,0,0,0,0,2.2,21.7,13.4,52.8,,0,0,0,72,19,6,12,8,109,123.0,137.0,115.0,124.86,10.2,114.0,122.43,2,1,1,1,1,2,4,1,1,1,1,5,4,3,12,4,9,36,16,1,1,50,13,8,13,13,9,41,23,8,2,0,0,Normal
2020-02-23,Sunday,7,8,2,Winter,1,0,0,0,0,0,0,0.0,25.0,20.0,40.9,,0,0,0,68,18,7,12,8,105,109.0,123.0,107.0,124.0,11.2,106.0,122.07,2,1,1,1,1,2,4,1,1,1,1,5,4,3,12,4,9,34,15,1,1,36,9,7,12,12,9,42,15,10,2,0,0,Normal
2020-02-24,Monday,1,9,2,Winter,0,0,0,0,0,0,0,0.0,28.6,20.9,53.9,,0,0,0,91,18,6,7,7,122,105.0,109.0,125.0,123.71,11.65,124.0,122.0,2,1,1,1,1,2,5,1,1,2,1,4,3,3,10,4,9,37,16,1,1,47,9,7,12,11,11,39,13,9,2,1,0,Watch
2020-02-25,Tuesday,2,9,2,Winter,0,0,0,0,0,1,0,0.0,26.1,20.0,43.6,,0,0,0,93,17,13,10,9,133,122.0,105.0,131.0,123.29,11.65,127.0,121.86,2,1,1,1,1,2,5,1,1,2,1,5,4,3,13,4,8,35,16,1,1,40,10,8,15,12,10,46,16,8,2,0,0,Normal
2020-02-26,Wednesday,3,9,2,Winter,0,0,0,1,1,0,1,0.0,26.8,15.6,52.3,,0,0,0,100,16,13,13,8,142,133.0,122.0,136.0,123.57,11.85,140.0,122.29,2,1,1,1,1,2,6,1,1,2,1,5,4,3,13,3,8,34,16,1,1,41,11,9,15,12,10,34,22,9,3,0,0,Normal
2020-02-27,Thursday,4,9,2,Winter,0,0,0,0,0,1,0,0.0,27.3,19.5,45.0,,0,0,0,88,21,14,6,7,129,142.0,133.0,137.0,124.43,12.89,119.0,122.43,2,1,1,1,1,2,5,1,1,2,1,4,3,3,13,4,10,41,18,1,1,46,12,9,13,11,9,50,24,9,2,1,0,Watch
2020-02-28,Friday,5,9,2,Winter,0,0,0,0,0,0,0,0.0,25.2,17.5,44.9,,0,0,0,83,18,7,9,8,117,129.0,142.0,123.0,123.29,12.06,110.0,123.14,2,1,1,1,1,2,5,1,1,1,1,5,4,3,11,4,9,36,16,1,1,34,12,5,14,11,9,48,19,6,2,0,0,Normal
2020-02-29,Saturday,6,9,2,Winter,1,0,0,0,0,0,0,1.3,27.6,21.4,51.8,,0,0,0,76,19,10,13,6,118,117.0,129.0,109.0,122.43,12.26,115.0,123.64,2,1,1,1,1,2,5,1,1,1,1,4,4,3,14,4,9,37,17,1,1,34,10,8,17,13,8,41,20,9,2,1,0,Watch
2020-03-01,Sunday,7,9,3,Summer,1,0,1,0,0,0,3,0.0,25.5,17.7,56.6,,0,0,0,76,23,8,22,9,129,118.0,117.0,105.0,123.71,11.21,107.0,123.86,2,1,2,1,1,2,5,1,1,2,1,5,5,3,17,5,11,43,19,2,1,42,9,8,16,14,13,45,18,11,2,2,0,Watch
2020-03-02,Monday,1,10,3,Summer,0,0,0,0,0,0,0,0.0,29.3,20.6,42.9,,0,0,0,92,15,8,8,7,123,129.0,118.0,122.0,127.14,8.24,125.0,125.43,2,1,1,1,1,2,5,1,1,2,1,4,3,3,10,3,7,32,15,1,1,50,9,4,12,11,6,35,19,12,2,1,0,Watch
2020-03-03,Tuesday,2,10,3,Summer,0,0,0,0,0,1,0,0.0,27.4,19.4,59.0,,0,0,0,95,18,15,8,9,136,123.0,129.0,133.0,127.29,8.15,131.0,125.29,2,1,1,1,1,2,5,1,1,2,1,5,4,3,13,4,9,37,16,1,1,42,12,8,14,13,12,34,14,9,2,2,0,Watch
2020-03-04,Wednesday,3,10,3,Summer,0,0,0,1,0,0,1,0.0,26.4,18.7,56.5,,0,0,0,101,21,9,14,9,145,136.0,123.0,142.0,127.71,8.51,136.0,125.64,2,1,1,1,1,2,6,1,1,2,1,5,4,3,14,4,10,42,19,2,1,41,11,8,14,13,9,58,22,13,2,1,0,Watch
2020-03-05,Thursday,4,10,3,Summer,0,0,0,0,0,1,0,0.0,24.9,17.9,51.8,,0,0,0,83,21,13,8,7,125,145.0,136.0,129.0,128.14,9.26,137.0,126.29,2,1,1,1,1,2,5,1,1,2,1,4,3,3,13,4,10,40,18,1,1,34,10,7,13,12,12,50,16,13,2,1,0,Watch
2020-03-06,Friday,5,10,3,Summer,0,0,0,0,0,0,0,0.0,29.0,21.2,54.9,,0,0,0,84,20,8,6,8,118,125.0,145.0,117.0,127.57,9.32,123.0,125.43,2,1,1,1,1,2,5,1,1,1,1,5,3,3,11,4,9,39,17,1,1,43,11,9,13,11,7,42,23,9,2,1,0,Watch
2020-03-07,Saturday,6,10,3,Summer,1,0,0,0,0,0,0,0.0,26.5,15.7,52.2,,0,0,0,74,19,9,11,6,113,118.0,125.0,118.0,127.71,9.16,109.0,125.07,2,1,1,1,1,2,5,1,1,1,1,4,3,3,13,4,9,36,17,1,1,48,9,8,12,11,8,33,15,10,2,4,0,High
2020-03-08,Sunday,7,10,3,Summer,1,0,0,0,0,0,0,0.0,24.5,18.2,43.4,,0,0,0,78,13,8,14,8,113,113.0,118.0,129.0,127.0,10.04,105.0,125.36,2,1,1,1,1,2,5,1,1,1,1,5,4,3,11,3,6,28,14,1,1,42,11,8,14,10,7,35,16,9,2,0,0,Normal
2020-03-09,Monday,1,11,3,Summer,0,0,0,0,0,0,0,0.0,27.8,19.7,46.5,,0,0,0,94,18,8,7,6,127,113.0,113.0,123.0,124.71,11.09,122.0,125.93,2,1,1,1,1,2,5,1,1,2,1,4,3,3,11,4,9,37,16,1,1,39,9,9,10,11,11,42,18,8,2,1,0,Watch
2020-03-10,Tuesday,2,11,3,Summer,0,0,0,0,0,1,0,0.0,25.2,17.6,47.3,,0,0,0,90,16,15,7,8,128,127.0,113.0,136.0,125.29,11.09,133.0,126.29,2,1,1,1,1,2,5,1,1,2,1,5,3,3,12,3,8,33,15,1,1,42,11,5,12,12,6,32,16,11,2,2,0,Watch
2020-03-11,Wednesday,3,11,3,Summer,0,0,1,1,0,0,3,0.0,27.9,22.5,50.2,,0,0,0,108,13,7,22,9,150,128.0,127.0,145.0,124.14,10.32,142.0,125.93,2,1,2,1,1,2,6,1,1,2,1,5,5,3,13,3,6,31,15,2,1,43,12,7,15,12,5,38,18,9,2,1,0,Watch
2020-03-12,Thursday,4,11,3,Summer,0,0,0,0,0,1,0,0.3,29.4,21.8,47.8,,0,0,0,91,17,11,8,8,127,150.0,128.0,125.0,124.86,11.8,129.0,126.5,2,1,1,1,1,2,5,1,1,2,1,5,3,3,12,4,8,35,16,1,1,42,10,5,13,11,6,34,15,8,2,3,0,High
2020-03-13,Friday,5,11,3,Summer,0,0,0,0,0,0,0,0.2,27.8,18.6,46.0,,0,0,0,83,21,8,8,7,120,127.0,150.0,118.0,125.14,11.83,117.0,126.36,2,1,1,1,1,2,5,1,1,1,1,4,3,3,12,4,10,40,18,1,1,41,14,8,12,13,10,36,20,10,3,1,0,Watch
2020-03-14,Saturday,6,11,3,Summer,1,0,0,0,0,0,0,1.2,27.2,17.6,47.5,,0,0,0,72,16,8,10,6,106,120.0,127.0,113.0,125.43,11.67,118.0,126.57,2,1,1,1,1,2,4,1,1,1,1,4,3,2,11,3,8,32,14,1,1,46,8,9,10,11,7,35,11,7,2,3,0,High
2020-03-15,Sunday,7,11,3,Summer,1,0,0,0,0,0,0,0.0,26.4,19.3,50.3,,0,0,0,70,15,8,10,6,103,106.0,120.0,113.0,124.43,12.93,129.0,125.71,2,1,1,1,1,2,4,1,1,1,1,4,3,2,11,3,7,30,14,1,1,38,11,10,10,11,7,32,17,8,2,1,0,Watch
2020-03-16,Monday,1,12,3,Summer,0,0,0,0,0,0,0,0.0,27.9,19.0,49.7,,0,0,0,94,20,6,8,8,128,103.0,106.0,127.0,123.0,14.56,123.0,123.86,2,1,1,1,1,2,5,1,1,2,1,5,3,3,11,4,9,40,17,1,1,45,11,5,12,12,7,36,23,10,2,2,0,Watch
